Map: Shrine Ruins | Difficulty: easy | Target: Jagras | Objective: Slay 8 Jagras | Description: Those in-fur-nal Jagras keep messing with my visits to the Shrine Ruins. They're after the offur-ings I bring with me, those rude, blasphemous fiends! Send them running with their tails between their legs!
Map: Sandy Plains | Difficulty: hard | Target: Tigrex | Objective: Hunt a Tigrex | Description: Did you hear that? It was that Tigrex! That monster's invaded the Plains and has been hollerin' up a storm ever since. Now all our Popo are spooked and won't budge. Can't blame 'em...they are a Tigrex's favorite snack. Please, Hunter. You gotta help us out!
Map: Lava Caverns | Difficulty: hard | Target: Rajang | Objective: Hunt a Rajang | Description: A d-d-demon, I tell you! A demon! No one's safe with that thing around! No one! The Felynes, the dango, the twinsâ€”ME! Oh my Gog! ME! I'm not safe! AHHHHHH! Hunter! What are you doing!? Go get rid of that thing!
Map: Lava Caverns | Difficulty: hard | Target: Rakna-Kadaki | Objective: Hunt a Rakna-Kadaki | Description: Rakna-Kadaki inhabit a select few regions, and yet one has just been sighted in the Lava Caverns... I just don't get it-get it! All of this strange activity around the region. And now Minoto is acting strange as well...
Map: Rotten Vale | Difficulty: hard | Target: Kulu-Ya-Ku | Objective: Slay the Kulu-Ya-Ku | Description: At last! The chance to end this miserable calamity is at hand! You must defeat Kulu-Ya-Ku once and for all! Hunter of Kamura, go and be victorious! I and the rest of your family are awaiting your triumphant return!
Map: Lava Caverns | Difficulty: hard | Target: Rathalos, Magnamalo | Objective: Hunt a Rathalos and Magnamalo | Description: Bunny Dango slow-cooked over lava
Map: Shrine Ruins | Difficulty: hard | Target: Almudron, Mizutsune | Objective: Hunt an Almudron and a Mizutsune | Description: Whoa! It is TOTALLY going down right now in the Shrine Ruins! One minute there's mud everywhere. Then the next, there's bubbles everywhere. Mud. Bubbles. Mud! Bubbles! I think you need to go out and clean up this mess!
Map: Sandy Plains | Difficulty: hard | Target: Diablos, Diablos | Objective: Hunt 2 Diablos | Description: UGH! I was gathering herbs for my new menu out in the Sandy Plains, and guess what? Two dumb Diablos showed up to stab my lunch dango on their horns! Grr, I want payback on those jerks!
Map: Flooded Forest | Difficulty: hard | Target: Rajang, Zinogre | Objective: Hunt a Rajang and a Zinogre | Description: I love when monsters keep destroying my carts and my livelihoodâ€”said no trader ever! First a Lagombi, then a Diablos, then two Volvidon, and NOW a Rajang and Zinogre! I just want, for once, to get from point A to point B without getting beat up by monsters!
Map: Lava Caverns | Difficulty: hard | Target: Rakna-Kadaki, Khezu | Objective: Hunt a Rakna-Kadaki and a Khezu | Description: Hi, I'd like to speak to whoever is in charge here. Yes, I heard that there were two monsters in the Lava Caverns. This is completely unacceptable! If something is not done about this right away, I WILL be contacting the guild to file a complaint!
Map: Frost Islands | Difficulty: hard | Target: Almudron, Mizutsune | Objective: Hunt a Goss Harag and a Tetranadon | Description: Hey, um, sorry to interrupt you, but I think there's something out in the Frost Islands that "may" need your attention. These two monsters have been going at it for a while now and it seems to be getting worse. Just, uh, thought you should know.
Map: Sandy Plains | Difficulty: hard | Target: Diablos, Anjanath | Objective: Hunt a Diablos and an Anjanath | Description: *sigh* I took on a Diablos and failed... I took on an Anjanathâ€”failed. I just can't anymore. How can it even be done? You've challenged all sorts of beasts, surely these are nothing to you. Maybe if I watch you defeat them, it'll rekindle the fire inside me.
Map: Arena | Difficulty: hard | Target: Tobi-Kadachi, Nargacuga, Tigrex | Objective: Hunt all target monsters | Description: I've been suffering from a severe case of writer's block, so I asked an acquaintance of mine to set up a grand stage performance. All you have to do, Hunter, is play your part, and surely I will find the inspiration I need to finish my romance novel!
Map: Shrine Ruins | Difficulty: hard | Target: Goss Harag | Objective: Slay a Goss Harag | Description: A Goss Harag has shown itselfâ€” hmmm...no. A Goss Harag has appearedâ€”*sigh* A Goss Harag has been spotâ€”We know it's out there! Go hunt the cursed thing before it unleashes toadal chaos! Now, hop to it-to it!
Map: Frost Islands | Difficulty: hard | Target: Kushala Daora | Objective: Slay a Kushala Daora | Description: Johoho! This quest will just "blow" your socks off, Hunter! *ahem* Pardon me! The Kushala Daora is an elder dragon shrouded in mystery. How they are able to summon tempests simply, joho, "blows" our mind! Johoho! *ahem*
Map: Lava Caverns | Difficulty: hard | Target: Lavasioth | Objective: Slay a Lavasioth | Description: A Lavasioth has been spotted in the Lava Caverns. Wreathed in flame, Lavasioth are of such a fierce and deadly nature that the Guild keeps track of their movements whenever possible. You must leap into action at once and extinguish this threat!
Map: Lava Caverns | Difficulty: hard | Target: Rathian, Tigrex, Rakna-Kadaki | Objective: Hunt all target monsters | Description: Got a real challenge here for ya, Squirt! Bwahaha! Look at those ears perk up! I knew it'd be right up your alley! Best these beasties and ol' Fugen will give ya a new Petalace. Sounds good, don't it!? Now go get to it!
Map: Sandy Plains | Difficulty: hard | Target: Bazelgeuse | Objective: Hunt a Bazelgeuse | Description: I've never seen anything like it! From the skies I heard a distant roar and then "it" came. Like hell falling from the heavens, fire rained down, scorching the earth. Time almost stood still as everything around me was consumed by flame.
Map: Frost Islands | Difficulty: hard | Target: Rajang | Objective: Capture a Rajang | Description: Bein' flexible in any situation's the mark of a true hunter, and I've got just the quest to test ya! If you can capture me a Rajang, you passâ€”and ya get yourself a new Petalace too! Now, go get to it!
Map: Flooded Forest | Difficulty: hard | Target: Bazelgeuse | Objective: Hunt a Bazelgeuse | Description: That cursed thing has returned! And with it, fire and destruction! Where it will strike next, we do not know. All we can do is follow the trail of devastation it has left behind. Hunter we ask that you stop this terror from the skies!
Map: Shrine Ruins | Difficulty: hard | Target: Bazelgeuse | Objective: Hunt a Bazelgeuse | Description: That cursed thing has returned! And with it, fire and destruction! Where it will strike next, we do not know. All we can do is follow the trail of devastation it has left behind. Hunter we ask that you stop this terror from the skies!
Map: Shrine Ruins | Difficulty: hard | Target: Apex Mitzusune | Objective: Hunt an Apex Mitzusune | Description: I've spent a lot time hiking through the Ruins and I've seen more than my share of Arzuros... But the one I saw earlier was no ordinary Arzuros. I think this one was of those Apex monsters I've heard about. And if it was I won't be taking any more hiking trips through the Ruins anytime soon.
Map: Flooded Forest | Difficulty: hard | Target: Apex Mitzusune | Objective: Hunt an Apex Mitzusune | Description: I TOTALLY thought that Rathian was 'bout done for, 'cause it looked like, SUPER beat up. But then it got mad, and it was, like, soooo STRONG! Like, what even is its problem, y'know? Anyway, can you hunt it for me? Thaaanks!
Map: Frost Islands | Difficulty: hard | Target: Apex Mizutsune | Objective: Hunt an Apex Mizutsune | Description: Good evening, Master Hunter. I hate to disturb you in this late hour, but I have received word that an Apex Mizutsune was spotted along my employer's route home. I ask that you guarantee his safe return.
Map: Lava Caverns | Difficulty: hard | Target: Apex Mitzusune | Objective: Hunt an Apex Mitzusune | Description: Talk about a bad fur day! Just when my tail healed up, I come across an even meaner Rathalos! An Apex one, too! As soon as it spotted me it barfed up this meowssive fireball! At this point, the fur on my tail will never grow back...
Map: Flooded Forest | Difficulty: hard | Target: Almudron, Zinogre | Objective: Hunt all target monsters | Description: Yo, Ace! You've been making some totally gnarly progress recently! Does a man good to see his pupil train so hard! In fact, let's kick it up a notch! Got just the quest for you, and it's a real banger!
Map: Shrine Ruins | Difficulty: hard | Target: Magnamalo, Nargacuga | Objective: Hunt all target monsters | Description: Yo, Ace! You've been making some totally gnarly progress recently! Does a man good to see his pupil train so hard! In fact, let's kick this up a notch! Got just the quest for you, and it's a real banger!
Map: Arena | Difficulty: easy | Target: Kulu-Ya-Ku | Objective: Slay a Kulu-Ya-Ku | Description: Yo, Ace! Ready for some awesome Arena action!? Prove your mettle using the equipment provided here!
Map: Lava Caverns | Difficulty: hard | Target: Bazelgeuse | Objective: Hunt a Bazelgeuse | Description: That cursed thing has returned! And with it, fire and destruction! Where it will strike next, we do not know. All we can do is follow the trail of devastation it has left behind. Hunter we ask that you stop this terror from the skies!
Map: Frost Islands | Difficulty: hard | Target: Bazelgeuse | Objective: Hunt a Bazelgeuse | Description: That cursed thing has returned! And with it, fire and destruction! Where it will strike next, we do not know. All we can do is follow the trail of devastation it has left behind. Hunter we ask that you stop this terror from the skies!
Map: Arena | Difficulty: hard | Target: Barioth | Objective: Slay a Barioth | Description: Yo, Ace! Ready for some awesome Arena action!? Prove your mettle using the equipment provided here!
Map: Arena | Difficulty: hard | Target: Rajang | Objective: Slay a Rajang | Description: Yo, Ace! Ready for some awesome Arena action!? Prove your mettle using the equipment provided here!
Map: Rotten Vale | Difficulty: hard | Target: Wind Serpent Ibushi, Narwa the Allmother | Objective: Slay Ibushi and Narwa | Description: Ibushi and Narwa have convened at the Rotten Valeâ€”that means we're running out of time... You must give them both the paddling of their lives, and break the chains shackling our village!
Map: Frost Islands | Difficulty: hard | Target: Goss Harag, Rajang | Objective: Hunt all target monsters | Description: Yo, Ace! You've been making some totally gnarly progress recently! Does a man good to see his pupil train so hard! In fact, let's kick this up a notch! Got just the quest for you, and it's a real banger!
Map: Sandy Plains | Difficulty: hard | Target: Tigrex, Anjanath | Objective: Hunt all target monsters | Description: Yo, Ace! You've been making some totally gnarly progress recently! Does a man good to see his pupil train so hard! In fact, let's kick this up a notch! Got just the quest for you, and it's a real banger!
Map: Lava Caverns | Difficulty: hard | Target: Rakna-Kadaki, Rathalos | Objective: Hunt all target monsters | Description: Yo, Ace! You've been making some totally gnarly progress recently! Does a man good to see his pupil train so hard! In fact, let's kick this up a notch! Got just the quest for you, and it's a real banger!
Map: Frost Islands | Difficulty: hard | Target: Crimson Glow Valstrax | Objective: Slay a Crimson Glow Valstrax | Description: The Valstrax has returned. If you plan on takin' it on, beware its wings! If they don;t burn you to a crisp, they'll dang sure poke you pull of holes. Be quick and stay on your toes out there! Got it? Well, good luck to ya!
Map: Sandy Plains | Difficulty: hard | Target: Apex Diablos | Objective: Hunt an Apex Diablos | Description: I saw it! I saw that terrifyingâ€”Wait... What was it I saw? A three-eyed goat? No... A beady-eyed ghost? Dern it! OH! It was a Diablos! But it wasn't a Diablos...know what I mean? No...? Well, it had horns...And... Well, shoot. I forget... Just go hunt the dang thing!
Map: Shrine Ruins | Difficulty: hard | Target: Apex Zinogre | Objective: Hunt an Apex Zinogre | Description: I was out on patrol in the Ruins, when suddenly, lightning struck all around me. I thought perhaps I had angered the gods enshrined there. But it wasn't any god, it was worse. It was a Zinogre. But this was no ordinary Zinogre. Tread carefully out there, Hunter.
Map: Shrine Ruins | Difficulty: hard | Target: Magnamalo, Bazelgeuse | Objective: Hunt a Magnamalo and a Bazelgeuse | Description: Magnamalo AND a Bazelgeuse!? At the SAME time!? What are we gonna do!? We're doomed I tell ya! DOOMED! There's nowhere to run! There's nowhere to hide! I'm gonna get gobbled upâ€”No! I'm gonna get blown to bits! Maybe even both!
Map: Frost Islands | Difficulty: hard | Target: Goss Harag, Tigrex, Mizutsune | Objective: Hunt a Goss Harag, a Tigrex, and a Mizutsune | Description: Hunter Hunter HUNTER! A Goss Harag, a Tigrex, and a Mizutsune are all out in the Frost Islands right at this moment! If you'd be willing to take the three of them on, I shall observe you, painting a masterpiece of the action! It will be my finest work!
Map: Sandy Plains | Difficulty: hard | Target: Kushala Daora, Lavasioth | Objective: Slay a Kushala Daora and a Lavasioth | Description: Really? TWO elder dragons!? Why, this is THE observation opportunity of two lifetimes! Here
Map: Flooded Forest | Difficulty: hard | Target: Goss Harag, Rajang | Objective: Slay a Goss Harag and hunt a Rajang | Description: It was so scary, Hunter! I was trying to get home when I got caught in this creepy mist. It was so thick, I could barely see my whiskers! I heard a rustling noise and when I spun around, I saw it! A two-horned demon! Please! Don't let it get me!
Map: Lava Caverns | Difficulty: hard | Target: Crimson Glow Valstrax, Rakna-Kadaki | Objective: Slay a Crimson Glow Valstrax and hunt a Rakna-kadaki | Description: Oh, wow! I just saw a comet fall into the Lava Caverns! While I really wanna check it out, I'm also not trying to go there by myself. Not with all the creepy crawly things that live there. Hey, what if it wasn't a comet but that legendary elder dragon!? C'mon! Let's go!
Map: Shrine Ruins | Difficulty: hard | Target: Crimson Glow Valstrax | Objective: Slay a Crimson Glow Valstrax | Description: Ancient texts speak of the Crimson Glow Valstrax as the "Scourge of the World." Well, now that it's returned, we won't let it destroy the peace that Kamura has fought so hard for! Time to hop to it-to it!
Map: Sandy Plains | Difficulty: hard | Target: Crimson Glow Valstrax | Objective: Slay a Crimson Glow Valstrax | Description: The Valstrax has returned. If you plan on takin' it on, beware its wings! If they don;t burn you to a crisp, they'll dang sure poke you pull of holes. Be quick and stay on your toes out there! Got it? Well, good luck to ya!
Map: Flooded Forest | Difficulty: hard | Target: Crimson Glow Valstrax | Objective: Slay a Crimson Glow Valstrax | Description: The Valstrax has returned. If you plan on takin' it on, beware its wings! If they don;t burn you to a crisp, they'll dang sure poke you pull of holes. Be quick and stay on your toes out there! Got it? Well, good luck to ya!
Map: Lava Caverns | Difficulty: hard | Target: Crimson Glow Valstrax | Objective: Slay a Crimson Glow Valstrax | Description: The Valstrax has returned. If you plan on takin' it on, beware its wings! If they don;t burn you to a crisp, they'll dang sure poke you pull of holes. Be quick and stay on your toes out there! Got it? Well, good luck to ya!
Map: Hoarfrost Reach | Difficulty: hard | Target: Diablos, Magnamalo, Rathalos | Objective: Hunt all target monsters | Description: I. AM. PUMPED! Now that I'm a hunter, I cannot WAIT to see some action! And this quest is EXACTLY the type of action I'm looking for! Whattaya say, Hunter? Think you can best all three of these bad boys?
Map: Hoarfrost Reach | Difficulty: hard | Target: Apex Mizutsune, Apex Mitzusune, Apex Zinogre | Objective: Slay all target monsters | Description: Gather 'round, gather 'round! Tonight we have a grand show of magnitude and might! Apexes galore for your viewing pleasure! Mizutsune! Rathalos! Zinogre! Who will step up to the challenge!? Come one 'n' all to find out!
Map: Lava Caverns | Difficulty: hard | Target: Tetranadon | Objective: Slay a Tetranadon | Description: After the most brutal training, I have become one with the shadows and achieved enlightenment. However, a Tetranadon hinders my training. I will bestow my wisdom upon any who can defeat it.
Map: Lava Caverns | Difficulty: hard | Target: Volvidon, Basarios, Bazelgeuse | Objective: Slay a Volvidon, a Basarios, and a Bazelgeuse | Description: Yo, Ace! Ready for some awesome Arena action!? Prove your mettle using the equipment provided here!
Map: Arena | Difficulty: easy | Target: Tetranadon | Objective: Slay an Tetranadon | Description: Sup, Ace? Ready for a REAL challenge? Don't think I'm gonna go easy on ya jast 'cuz you're my favorite. Nah, it's thrash or BE thrashed! If ya know what I mean. Let's see what you got!
Map: Flooded Forest | Difficulty: easy | Target: Royal Ludroth, Nargacuga | Objective: Slay a Royal Ludroth and a Nargacuga | Description: Yo, Ace! Ready for some awesome Arena action!? Prove your mettle using the equipment provided here!
Map: Arena | Difficulty: easy | Target: Barroth | Objective: Slay a Barroth | Description: Yo, Ace! Ready for some awesome Arena action!? Prove your mettle using the equipment provided here!
Map: Arena | Difficulty: easy | Target: Great Baggi, Great Baggi, Kulu-Ya-Ku | Objective: Hunt all target monsters | Description: Do you know the Felyne Tsukino, who appears in the mew MONSTER HUNTER STORIES 2
Map: Sandy Plains | Difficulty: hard | Target: Almudron | Objective: Hunt an Almudron | Description: Rondine showed me a pair of tight pants from some far off country. I don't know fashion, but I know a pair of sturdy pants when I see 'em! Complete my request, and I'll give you the materials to forge 'em.
Map: Flooded Forest | Difficulty: hard | Target: Goss Harag | Objective: Slay a Goss Harag | Description: Shhh! Don't mind me! I ran into a Goss Harag and now I'm stalling for time playing possum. But I don't think I can fool it for much longer! If you can take care of it for me, I'll teach ya my trick for getting out of a bind!
Map: Elder's Recess | Difficulty: hard | Target: Bishaten, Almudron | Objective: Defend the final gate | Description: Ah, Hunter! Take a look at these festive stickers I made! They are so... festive! Johoho! Really put you in the mood to celebrate, do they not? Complete my request, and they're yours! Now... hop it-to it!
Map: Elder's Recess | Difficulty: hard | Target: Rathian, Tigrex, Wind Serpent Ibushi | Objective: Slay Wind Serpent Ibushi | Description: A Rampage unlike any before is hurtlin' towards the village, and that fiend Ibushi is leadin' it! Be on the lookout for Magnamalo; there's a good change it'll show up for a snack. It's up to you to protect the village! Go get to it!
Map: Elder's Recess | Difficulty: hard | Target: Goss Harag, Mizutsune, Apex Mizutsune | Objective: Defend the final gate | Description: Oh my Gog! Those monsters are sooooo cute! But why do they have to be so mean? *pout* If you go out and teach them to behave, I'll teach YOU a new gesture. It's my signature move so I know you'll just love it!
Map: Elder's Recess | Difficulty: hard | Target: Arzuros, Bishaten, Apex Mitzusune | Objective: Defend the final gate | Description: USJ presents to you a horde of Arzuros closing in like a raging tide! Ride the raging waves and claim the materials to craft Palico gear that gleams like the azure star!
Map: Elder's Recess | Difficulty: hard | Target: Rathalos, Zinogre | Objective: Defend the final gate | Description: M-My goodness! All the terrors that hunters fought off in the past have shown up in this Rampage! You're a fresh-faced hunter how, but you'll go down in history if you can defeat them. And if you do, I'll give you some materials to make some layered armor!
Map: Elder's Recess | Difficulty: hard | Target: Rajang, Rajang | Objective: Defend the final gate | Description: Attention! Rampage incoming! All hunters report to the Stronghold -- Wait wait! You! Come back here! Who taught you to run like....that!? You look like a Gargwa trying to lay an egg! Look, I gotta go warn Kamura, but if you survive this, I'll show you my running techniques.
Map: Arena | Difficulty: hard | Target: Tigrex, Diablos | Objective: Hunt a Tigrex and a Diablos | Description: Hey, Hunter! There's a deathmatch raging on in the Arena between a teeny-tiny Tigrex and a dango-droppingly big Diablos! If you can go over and quiet that racket down. I'll give ya some new titles. Sound good? Good! Now go get to it!
Map: Sandy Plains | Difficulty: hard | Target: Barroth, Rathalos, Diablos | Objective: Hunt a Barroth, a Rathian and a Diablos | Description: I have mastered the kunai! Swords? Bows? Hah! Don't need 'em! ...Well, at least, I thought I didn't until those monsters put me face down, tassets up in the a cart back to camp. Avenge my bruise behind and I'll teach you my kunai-accentuated poses!
Map: Lava Caverns | Difficulty: hard | Target: Apex Mitzusune | Objective: Slay an Apex Mitzusune | Description: Urgent notice from the Hunter's Guild
Map: Hoarfrost Reach | Difficulty: hard | Target: Jyuratodus, Somnacanth, Mizutsune | Objective: Hunt all target monsters | Description: I hunt for ancient tresure that lies in the deepest rivers and oceans. Sadly, my next diving spot is swimming with monsters. Would you clear them out for me? If you o, I'll give you the materials to make some new layered armor.
Map: Arena | Difficulty: hard | Target: Great Goss Harag, Great Goss Harag, Rajang | Objective: Hunt all target monsters | Description: Ah, Hunter! I have some johoho-vial news for you! After hearing tales of a distant land where they throw the merriest of parties, I was inspired to make some festive stickers! Complete my request, and they're yours! Now...hop to it-to it!
Map: Hoarfrost Reach | Difficulty: hard | Target: Apex Mitzusune, Apex Mitzusune, Apex Diablos | Objective: Slay all target monsters | Description: Hey, Squirt! We've got reports of a buncha Apex toughies gatherin' in one spot! Now normally these baddies would put a hunter in the dirt, but my zenny's on you. Put THEM in the dirt an these Guild Card titles are yours! Bwahaha! Now go get to it!
Map: Shrine Ruins | Difficulty: hard | Target: Apex Mizutsune | Objective: Slay an Apex Mizutsune | Description: Urgent notice from the Hunter's Guild
Map: Arena | Difficulty: hard | Target: Bishaten, Bishaten | Objective: Hunt 2 Bishaten | Description: Ah...ah...ACHOO! Sorry... *sniff* Ugh... Caught a cold somewhere between the Frost Islands and Lava Caverns... If I'm ever gonna study Bisha...AH...ACHOOO! *sniff* Bishaten, I'll need your help. In return, I'll teach you some poses that vividly express my misery...
Map: Lava Caverns | Difficulty: hard | Target: Magnamalo | Objective: Hunt a Magnamalo | Description: They say the soul of a true warrior burns bright like a fire, blazin' a path for the next generation. Magnamalo's soul is a scorchin' inferno of hatred. Tormented by its insatiable hunger... Hunter of Kumura! Go forth and show us whose soul burns brightest!
Map: Shrine Ruins | Difficulty: hard | Target: Apex Mitzusune | Objective: Slay an Apex Mitzusune | Description: Urgent notice from the Hunter's Guild
Map: Frost Islands | Difficulty: hard | Target: Lagombi, Barioth, Goss Harag | Objective: Hunt a Lagombi, a Barioth, and a Goss Harag | Description: Help us! HELP US! Anyone! Our safari has been surrounded by monsters, and now we're stuck out in the cold! Good thing I wore something warm and I'll give you some materials to make your very own if you get those monsters to scram!
Map: Rotten Vale | Difficulty: hard | Target: Wind Serpent Ibushi, Narwa the Allmother | Objective: Slay Wind Serpent Ibushi and Narwa the Allmother | Description: Wind Serpent Ibushi and Kulu-Ya-Ku...in other words
Map: Shrine Ruins | Difficulty: medium | Target: Aknosom, Aknosom, Aknosom | Objective: Hunt 3 Aknosom | Description: What's wrong, Hunter? The winter days got you feeling chilly? Well, I've got just the thing to warm your spirits! Johoho! I've made some new stickers and they're wonderfully wintery! Complete my request, and they're yours! Now...hop to it-to it!
Map: Sandy Plains | Difficulty: hard | Target: Apex Diablos | Objective: Slay and Apex Diablos | Description: Urgent notice from the Hunter's Guild
Map: Hoarfrost Reach | Difficulty: medium | Target: Arzuros, Tetranadon | Objective: Hunt an Arzuros and a Tetranadon | Description: Ow-ow-ow... Sittin' down at work all these years has done a number on my back... Your back's gonna be busted too if you don't learn to sit right! Look at ya slouchin'! Tell you what, do this here quest and I'll teach ya all about posture!
Map: Shrine Ruins | Difficulty: hard | Target: Tetranadon, Almudron, Magnamalo | Objective: Hunt a Tetranadon, an Almudron, and Magnamalo | Description: USJ presents to you a thrilling battle stage with a ravenous river beast, a sly mud dweller and a beast of pure malice! Leap onto the field of battle and reap materials to craft gear that gleams like the azure star!
Map: Hoarfrost Reach | Difficulty: hard | Target: Crimson Glow Valstrax | Objective: Slay a Crimson Glow Valstrax | Description: The ancient tomes say it is an evil star -- a peculiar comet that glows an ominous red. Each coming day, the crimson hue grows fiercer and soon threatens to sunder the very earth. Only you hold the power to bring down this evil from the sky.
Map: Hoarfrost Reach | Difficulty: hard | Target: Rathian, Somnacanth, Rakna-Kadaki | Objective: Hunt all target monsters | Description: Ah, Hunter! There's a custom in a far-off land of giving sweets to express one's feelings. I thought it was such a nice idea that I made stickers about it! If you complete my request, I'll give them to you. Now, hop to it-to it!
Map: Flooded Forest | Difficulty: hard | Target: Apex Zinogre | Objective: Slay an Apex Zinogre | Description: Urgent notice from the Hunter's Guild
Map: Lava Caverns | Difficulty: hard | Target: Volvidon, Anjanath, Tigrex | Objective: Hunt a Volvidon, an Anjanath and a Tigrex | Description: I've met some crazy fans before, but these gues are foaming at the mouth to get an autograph! I know it's hard to resist my charm, but I need security to get rid of them, pronto. When they're gona, I'll teach you some super cutesy poses!
Map: Arena | Difficulty: hard | Target: Zinogre, Khezu | Objective: Hunt a Zinogre and a Khezu | Description: Oh, great! JUST GREAT. Where'd that stupid paper go!? No need to panic -- why should I panic? *ahem* Could you, um, maybe take care of the quest for me? I'll give you some materials to make layered armor if you do! And... could you keep this just between us?
Map: Hoarfrost Reach | Difficulty: hard | Target: Goss Harag, Kushala Daora, Lavasioth | Objective: Slay all target monsters | Description: Hey, Squirt. We got some of the mightiest elder dragons out in the Hoarfrost Reach. Are they too mightly for ya to brawl with? Only one way to find out. Take 'em down and I'll give ya some new titles. Sound good? Now get to it!
Map: Arena | Difficulty: medium | Target: Lagombi | Objective: Hunt a Lagombi | Description: Ah, Hunter! Our little Komitsu asked me to illustrate some Bombadgy pictures for her. She loved them so much, I turned them into stickers! Johoho! Complete my request, and they're yours! Now...hop to it-to it!
Map: Shrine Ruins | Difficulty: hard | Target: Great Baggi, Mizutsune, Magnamalo | Objective: Hunt a Great Baggi, a Mizutsune, and Magnamalo | Description: (It's actually a request from a certain tailor, but it's written by Minoto...) "The reward is material for layered armor. And, uh, the armor is kind of...adorable, so...after you make it, I think I'll order another in secret..."
Map: Flooded Forest | Difficulty: hard | Target: Nargacuga | Objective: Hunt a Nargacuga | Description: I thought that dumb faker was following me around again, but turns out it was something else. I'm getting real bad vibes from it. Send it packing and I'll hook you up with some materials to make some sweet layered armor!
Map: Arena | Difficulty: hard | Target: Zinogre | Objective: Slay a Zinogre | Description: Sup, Ace? Ready for a REAL challenge? Don't think I'm gonna go easy on ya just 'cuz you're my favorite. Nah, it's thrash or BE thrashed, if ya know what I mean. Let's see what you got!
Map: Arena | Difficulty: hard | Target: Tigrex | Objective: Slay a Tigrex | Description: Sup, Ace? Ready for a REAL challenge? Don't think I'm gonna go easy on ya just 'cuz you're my favorite. Nah, it's thrash or BE thrashed, if ya know what I mean. Let's see what you got!
Map: Arena | Difficulty: hard | Target: Magnamalo | Objective: Slay a Magnamalo | Description: Sup, Ace? Ready for a REAL challenge? Don't think I'm gonna go easy on ya just 'cuz you're my favorite. Nah, it's thrash or BE thrashed, if ya know what I mean. Let's see what you got!
Map: Arena | Difficulty: hard | Target: Rakna-Kadaki | Objective: Slay a Rakna-Kadaki | Description: Sup, Ace? Ready for a REAL challenge? Don't think I'm gonna go easy on ya just 'cuz you're my favorite. Nah, it's thrash or BE thrashed, if ya know what I mean. Let's see what you got!
Map: Arena | Difficulty: hard | Target: Somnacanth, Goss Harag, Magnamalo | Objective: Slay a Somnacanth, a Goss Harag, and Magnamalo | Description: Sup, Ace? Ready for a REAL challenge? Don't think I'm gonna go easy on ya just 'cuz you're my favorite. Nah, it's thrash or BE thrashed, if ya know what I mean. Let's see what you got!
Map: Hoarfrost Reach | Difficulty: hard | Target: Apex Zinogre, Apex Mizutsune, Apex Diablos | Objective: Slay all target monsters | Description: Sup, Ace? Ready for a REAL challenge? Don't think I'm gonna go easy on ya just 'cuz you're my favorite. Nah, it's thrash or BE thrashed, if ya know what I mean. Let's see what you got!
Map: Frost Islands | Difficulty: hard | Target: Goss Harag | Objective: Hunt a Goss Harag | Description: I just don't understand young hunters and their "fashion"... Some of them even paint their glasses solid black! It boggles the mind! Well, if this sort of thing interests you, complete my request and I'll give you the materials to make them.
Map: Shrine Ruins | Difficulty: hard | Target: Rajang | Objective: Hunt a Rajang | Description: Looking to train with the best, I see! Well, you came to the right place! My prized pupil is -- Hold on, there's two of 'em!? And the second one has a dark aura!? *shrug* Anyway, you just need to defeat one!
Map: Sandy Plains | Difficulty: hard | Target: Rakna-Kadaki | Objective: Hunt a Rakna-Kadaki | Description: Ah, Hunter! You can always count on endemic life to help you on hunts! And if you complete my request, johoho, you can count on them to help communicate with your friends! Hop to it-to it and these stickers are yours!
Map: Sandy Plains | Difficulty: hard | Target: Lavasioth | Objective: Slay a Lavasioth | Description: They may have home advantage but if you take 'em on, we'll cheer for ya! Ready!? OK! *clap* "We've got the pride! We've got the spirit! Our hunter is the best so let 'em hear it! K-A-M-U-R-A! What's that spell? KAURA! KAMURA! Goooooo Kamura!" Wooo!
Map: Frost Islands | Difficulty: hard | Target: Bazelgeuse | Objective: Hunt a Bazelgeuse | Description: Ah, Hunter! Hinoa asked me to make some dango stickers and, I must say, just looking at them makes my mouth water! Johoho! Complete my request, and they're yours! Now... hop to it-to it!
Map: Arena | Difficulty: hard | Target: Zinogre | Objective: Hunt a Zinogre | Description: I've got a special quest fur-om the Mega Man series for ya! There's a Zinogre in there that may be small, but I have a bone to pick with. Hunt it, and I'll give you the materials to forge Mega Man's trusty companion!
Map: Shrine Ruins | Difficulty: hard | Target: Apex Mitzusune, Apex Mitzusune | Objective: Slay an Apex Mitzusune and an Apex Mitzusune | Description: An Apex Mitzusune and Rathian are hollerin' at each other over in the Shrine Ruins! They say don't get involved in a couple's fight but we better put a stop to this one before it really heats up and burns the whole place down!
Map: Sandy Plains | Difficulty: hard | Target: Apex Diablos, Apex Diablos | Objective: Slay 2 Apex Diablos | Description: Two Apex Diablos have been spotted in the Sandy Plains. Hinoa reports that their sizes differ substantially and they're going wild. Seeing them next to each other, it's hard to tell which one's nearby and which one's far away, so be careful!
Map: Rotten Vale | Difficulty: hard | Target: Wind Serpent Ibushi | Objective: Slay Wind Serpent Ibushi | Description: Worrying news indeed... Ibushi has been spotted in the Rotten Vale. Fortunately, it has yet to meet up with its queen, but I have a terrible feeling... Hunter, you must leap into action at once. We cannot allow them to reunite!
